TickSpotters_ID,SpeciesID_Correct,StageID_Correct_Y_or_N,Corrected_Species_ID,Corrected_Sex,Corrected_Stage_ID,Feeding-time_days,TickSpotter_Response_SpeciesID,TickSpotter_Response_StageID,Date_Found,Found_on,Person_Age,Person_Sex,Pet_Type,State_Country,Zip_code
20732,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,Brown Dog tick (Rhipicephalus sanguineus),I don't know,3/13/16,On a person,,,,Pennsylvania,17111
21871,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,6,I don't know,Adult,12/20/15,On a pet,,,,Minnesota,55771
14740,Y,Y,Lone Star tick (Amblyomma americanum),Female,Adult,4,Lone Star tick (Amblyomma americanum),Adult,5/29/15,On a person,,,,Maryland,21075
14303,N,N,American Dog tick (Dermacentor variabilis),Female,Adult,5,I don't know,I don't know,12/31/16,On a pet,,,,Connecticut,6472
28589,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,4.5,I don't know,I don't know,12/31/16,On a pet,,,,Ohio,44216
21103,N,N,Western-Blacklegged tick (Ixodes pacificus),Female,Adult,1,I don't know,I don't know,12/31/16,On a person,,,,California,95018
28009,N,N,Blacklegged or Deer tick (Ixodes scapularis),Larva,Larva,3,Brown Dog tick (Rhipicephalus sanguineus),I don't know,12/31/16,On a pet,,,,New York,11729
10456,N,N,Lone Star tick (Amblyomma americanum),Nymph,Nymph,0,I don't know,I don't know,12/31/16,On a person,,,,Texas,78418
23163,N,Y,American Dog tick (Dermacentor variabilis),Female,Adult,3,I don't know,Adult,5/17/15,On a person,,,,Ohio,44880
18313,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3,I don't know,I don't know,10/4/15,On a person,,,,Massachusetts,1201
27003,N,N,American Dog tick (Dermacentor variabilis),Male,Adult,0,I don't know,I don't know,7/7/15,On a pet,,,,New York,14468
24030,N,N,American Dog tick (Dermacentor variabilis),Female,Adult,0,I don't know,I don't know,5/20/16,On a person,,,,Wisconsin,54547
19703,Y,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),I don't know,11/29/15,On a person,,,,Massachusetts,2554
21494,N,N,American Dog tick (Dermacentor variabilis),Male,Adult,0,I don't know,I don't know,4/7/15,On a person,,,,New Jersey,8830
18154,N,N,Weevil,Unknown,Unknown,N/A,I don't know,I don't know,9/16/16,Loose and wandering,,,,Missouri,63021
15872,N,N,American Dog tick (Dermacentor variabilis),Female,Adult,1,I don't know,I don't know,5/29/16,On a person,,,,Tennessee,37415
11037,Y,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1.5,Blacklegged or Deer tick (Ixodes scapularis),Adult,6/6/16,On a person,,,,New Hampshire,3801
27818,N,Y,Lone Star tick (Amblyomma americanum),Female,Adult,4,I don't know,Adult,4/25/15,On a person,,,,Georgia,31021
12018,Y,Y,Lone Star tick (Amblyomma americanum),Female,Adult,1,Lone Star tick (Amblyomma americanum),Adult,5/4/15,On a person,,,,Georgia,30101
27652,N,N,American Dog tick (Dermacentor variabilis),Female,Adult,3,I don't know,Adult,7/30/15,On a person,,,,Missouri,65714
18354,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3.5,I don't know,I don't know,9/23/15,On a pet,,,,Ohio,43150
19775,N,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,4,I don't know,Adult,12/3/15,On a person,,,,New York,12603
21474,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,I don't know,I don't know,4/6/16,On a person,,,,New Hampshire,3275
24167,N,N,Rocky Mountain Wood tick (Dermacentor andersoni),Female,Adult,0,I don't know,I don't know,5/22/16,On a pet,,,,Colorado,80465
25125,N,Y,Lone Star tick (Amblyomma americanum),Female,Adult,6,I don't know,Adult,6/2/16,On a pet,,,,Tennessee,37909
26158,N,Y,Lone Star tick (Amblyomma americanum),Male,Adult,0,I don't know,Adult,6/19/16,On a person,,,,Maryland,21403
26295,N,N,Lone Star tick (Amblyomma americanum),Male,Adult,0,I don't know,I don't know,6/21/16,On a person,,,,Maryland,21214
22036,N,N,Unknown,Unknown,Unknown,0,I don't know,Adult,4/21/16,On a person,,,,Illinois,60930
24092,N,N,American Dog tick (Dermacentor variabilis),Male,Adult,0,I don't know,I don't know,5/20/16,On a person,,,,Ohio,43551
25276,Y,Y,Gulf Coast Tick (Amblyomma maculatum),Female,Adult,0,Gulf Coast Tick (Amblyomma maculatum),Adult,8/19/15,Loose and wandering,,,,Florida,32531
18711,N,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,4,I don't know,Adult,10/21/15,On a pet,,,,New York,10463
18224,N,N,American Dog tick (Dermacentor variabilis),Female,Adult,0,I don't know,I don't know,5/15/16,On a person,,,,South Carolina,29483
18279,N,N,Lone Star tick (Amblyomma americanum),Female,Adult,0,I don't know,I don't know,6/5/15,On a person,,,,South Carolina,29483
11158,Y,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,3,Blacklegged or Deer tick (Ixodes scapularis),Nymph,4/21/16,On a person,,,,New York,12401
20017,N,N,Spider,Unknown,Unknown,N/A,I don't know,I don't know,5/1/16,On a person,,,,Pennsylvania,16101
14909,N,N,Lone Star tick (Amblyomma americanum),Female,Adult,0,I don't know,I don't know,6/5/15,On a pet,,,,Tennessee,38017
19087,Y,Y,Blacklegged or Deer tick (Ixodes scapularis),Male,Adult,0,Blacklegged or Deer tick (Ixodes scapularis),Adult,11/5/16,Loose and wandering,,,,New York,12404
13077,Y,N,American Dog tick (Dermacentor variabilis),Male,Adult,0,American Dog tick (Dermacentor variabilis),Nymph,5/16/15,On a person,,,,Pennsylvania,19343
27072,N,N,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1.5,I don't know,I don't know,5/21/16,On a person,,,,Connecticut,6070
20194,N,N,American Dog tick (Dermacentor variabilis),Male,Adult,0,I don't know,I don't know,6/1/15,On a person,,,,Michigan,49420
15933,N,N,American Dog tick (Dermacentor variabilis),Male,Adult,0,I don't know,I don't know,6/17/16,On a person,,,,Michigan,49107
9809,N,N,Brown Dog tick (Rhipicephalus sanguineus),Male,Adult,1,I don't know,I don't know,1/12/15,Loose and wandering,,,,Florida,33062
10249,N,Y,Gulf Coast Tick (Amblyomma maculatum),Female,Adult,1,Brown Dog tick (Rhipicephalus sanguineus),Adult,3/29/15,On a person,,,,New Mexico,87544
10457,N,N,Lone Star tick (Amblyomma americanum),Nymph,Nymph,3,I don't know,I don't know,4/5/15,On a person,,,,Florida,32174
10892,Y,Y,Blacklegged or Deer tick (Ixodes scapularis),Female,Adult,1,Blacklegged or Deer tick (Ixodes scapularis),Adult,4/17/15,On a person,,,,Massachusetts,2766
10976,N,N,American Dog tick (Dermacentor variabilis),Male,Adult,0,I don't know,I don't know,4/19/15,On a person,,,,Wisconsin,53018
11338,N,Y,American Dog tick (Dermacentor variabilis),Female,Adult,1,I don't know,Adult,4/22/15,On a person,,,,California,94592
23489,N,Y,American Dog tick (Dermacentor variabilis),Female,Adult,2,I don't know,Adult,5/12/15,On a person,,,,Pennsylvania,18661
13463,N,N,Lone Star tick (Amblyomma americanum),Nymph,Nymph,4,I don't know,I don't know,5/20/15,On a person,,,,Virginia,22901
14643,N,Y,American Dog tick (Dermacentor variabilis),Male,Adult,1,I don't know,Adult,6/1/15,On a person,,,,Louisiana,70460
